job_id,@model,@weather,@type,@north,@ch,@floor,@wwr_KL_B,@ach,@tmin,@tmax,@fabric,@glazing,BD1_HA26c_occ,BD1_TM52_C1,BD1_HA26p_occ,@job_s,@wwr_KL,@wwr_B
EP_CP_P1201_000000000,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_90,1,22,24,v1,v1,2339.25,0.439,0.267,00000,90,90
EP_CP_P1201_000000001,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_90,2,22,24,v1,v1,1554.75,0.236,0.177,00001,90,90
EP_CP_P1201_000000002,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_90,4,22,24,v1,v1,932.75,0.114,0.106,00002,90,90
EP_CP_P1201_000000003,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_90,8,22,24,v1,v1,634.5,0.046,0.072,00003,90,90
EP_CP_P1201_000000004,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_80,1,22,24,v1,v1,2279.75,0.409,0.26,00004,90,80
EP_CP_P1201_000000005,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_80,2,22,24,v1,v1,1456.75,0.202,0.166,00005,90,80
EP_CP_P1201_000000006,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_80,4,22,24,v1,v1,859.25,0.089,0.098,00006,90,80
EP_CP_P1201_000000007,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_80,8,22,24,v1,v1,567.5,0.032,0.065,00007,90,80
EP_CP_P1201_000000008,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_70,1,22,24,v1,v1,2201.25,0.375,0.251,00008,90,70
EP_CP_P1201_000000009,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_70,2,22,24,v1,v1,1343.75,0.168,0.153,00009,90,70
EP_CP_P1201_000000010,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_70,4,22,24,v1,v1,778.0,0.064,0.089,00010,90,70
EP_CP_P1201_000000011,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_70,8,22,24,v1,v1,503.25,0.025,0.057,00011,90,70
EP_CP_P1201_000000012,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_60,1,22,24,v1,v1,2083.75,0.33,0.238,00012,90,60
EP_CP_P1201_000000013,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_60,2,22,24,v1,v1,1227.0,0.132,0.14,00013,90,60
EP_CP_P1201_000000014,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_60,4,22,24,v1,v1,689.75,0.038,0.079,00014,90,60
EP_CP_P1201_000000015,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_60,8,22,24,v1,v1,446.75,0.016,0.051,00015,90,60
EP_CP_P1201_000000016,CP_P1201,GTW_DSY1,1B2P,0.0,2.5,Ground_Floor,90_50,1,22,24,v1,v1,1966.5,0.276,0.224,00016,90,50
