job_id,@job_s,@model,@weather,@north,@floor,@ach,@wwr_KL,@wwr_B,BD1_HA26p_occ
EP_CP_P1201_000000000,00000,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,90,90,0.267
EP_CP_P1201_000000001,00001,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,90,90,0.177
EP_CP_P1201_000000002,00002,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,90,90,0.106
EP_CP_P1201_000000003,00003,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,90,90,0.072
EP_CP_P1201_000000004,00004,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,90,80,0.26
EP_CP_P1201_000000005,00005,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,90,80,0.166
EP_CP_P1201_000000006,00006,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,90,80,0.098
EP_CP_P1201_000000007,00007,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,90,80,0.065
EP_CP_P1201_000000008,00008,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,90,70,0.251
EP_CP_P1201_000000009,00009,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,90,70,0.153
EP_CP_P1201_000000010,00010,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,90,70,0.089
EP_CP_P1201_000000011,00011,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,90,70,0.057
EP_CP_P1201_000000012,00012,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,90,60,0.238
EP_CP_P1201_000000013,00013,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,90,60,0.14
EP_CP_P1201_000000014,00014,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,90,60,0.079
EP_CP_P1201_000000015,00015,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,90,60,0.051
EP_CP_P1201_000000016,00016,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,90,50,0.224
EP_CP_P1201_000000017,00017,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,90,50,0.125
EP_CP_P1201_000000018,00018,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,90,50,0.068
EP_CP_P1201_000000019,00019,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,90,50,0.044
EP_CP_P1201_000000020,00020,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,90,40,0.205
EP_CP_P1201_000000021,00021,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,90,40,0.108
EP_CP_P1201_000000022,00022,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,90,40,0.057
EP_CP_P1201_000000023,00023,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,90,40,0.036
EP_CP_P1201_000000024,00024,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,80,80,0.26
EP_CP_P1201_000000025,00025,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,80,80,0.165
EP_CP_P1201_000000026,00026,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,80,80,0.098
EP_CP_P1201_000000027,00027,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,80,80,0.065
EP_CP_P1201_000000028,00028,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,80,70,0.25
EP_CP_P1201_000000029,00029,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,80,70,0.153
EP_CP_P1201_000000030,00030,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,80,70,0.088
EP_CP_P1201_000000031,00031,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,80,70,0.057
EP_CP_P1201_000000032,00032,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,80,60,0.237
EP_CP_P1201_000000033,00033,CP_P1201,GTW_DSY1,0.0,Ground_Floor,2,80,60,0.139
EP_CP_P1201_000000034,00034,CP_P1201,GTW_DSY1,0.0,Ground_Floor,4,80,60,0.078
EP_CP_P1201_000000035,00035,CP_P1201,GTW_DSY1,0.0,Ground_Floor,8,80,60,0.051
EP_CP_P1201_000000036,00036,CP_P1201,GTW_DSY1,0.0,Ground_Floor,1,80,50,0.223
